"year","floatDate","floattime","r0_1","Cn2","residual_Kolmo","r0Kalman","L0Kalman","residual_Kalman","r0power","r0expo","residual_power","r0max","r0min","Cn2max","Cn2min","r0noTT.0.","Cn2noTT","r0noTT.1.","residual_KolmonoTT","imamax","npixsat","offsets.0.","offsets.1.","flagdata"
2022,8.58065,19.58333,3.18518,2.1804e-14,0.00057,2.52305,28.24609,0.00055,3.21706,1.59043,0.00055,2.26164,3.41102,3.8583e-14,1.9452e-14,3.94284,2.29337,1.5279e-14,8e-05,65490.804,0,-12,-25,0
2022,8.58065,19.66667,3.63405,1.7503e-14,3e-04,3.24469,17.80469,3e-04,3.65061,1.6348,3e-04,2.82142,3.93112,2.6688e-14,1.5354e-14,4.50887,2.61733,1.2218e-14,8e-05,65450.37,0,-12,-25,0
2022,8.58065,19.75,4.87181,1.0739e-14,0.00016,4.52996,15.69751,0.00016,4.87431,1.65167,0.00016,3.8805,5.41646,1.569e-14,8.9999e-15,6.11933,3.39936,7.3438e-15,7e-05,65521.504,0,-12,-25,0
2022,8.58065,19.83333,2.97645,2.4412e-14,0.00085,2.17363,35.56641,8e-04,3.02168,1.56277,8e-04,1.95251,2.892,4.9292e-14,2.5611e-14,3.65238,2.189,1.7357e-14,9e-05,65528,1,-12,-25,0
2022,8.58065,19.91667,4.10512,1.4285e-14,0.00024,3.7765,14.64551,0.00024,4.11262,1.64667,0.00024,3.06209,3.73027,2.3284e-14,1.6757e-14,4.9598,3.09324,1.0423e-14,0.00012,65528,1,-12,-25,0
2022,8.58065,20,3.99526,1.4946e-14,0.00033,3.39029,26.61621,0.00032,4.01402,1.61917,0.00032,2.83505,3.9029,2.6474e-14,1.554e-14,4.94501,2.8856,1.0475e-14,8e-05,65528,1,-12,-25,0
2022,8.58065,20.08333,3.33978,2.0148e-14,0.00027,3.11104,10.23438,0.00027,3.35228,1.64667,0.00027,2.79911,3.19978,2.7043e-14,2.1639e-14,4.11656,2.42323,1.4219e-14,9e-05,65528,1,-12,-25,0
2022,8.58065,20.16667,4.22623,1.3609e-14,0.00015,4.08466,7.17578,0.00016,4.23623,1.66167,0.00016,3.42953,4.46277,1.9277e-14,1.2429e-14,5.24503,3.02567,9.4955e-15,9e-05,65528,1,-12,-25,0
2022,8.58065,20.25,3.45257,1.9063e-14,0.00036,3.0292,19.44043,0.00036,3.47468,1.62652,0.00036,2.56542,4.01211,3.1273e-14,1.4841e-14,4.23189,2.52081,1.3579e-14,0.00011,65528,1,-12,-25,0
2022,8.58065,20.33333,3.88513,1.5659e-14,0.00035,3.29725,25.94348,0.00034,3.91388,1.61417,0.00034,2.7223,3.77675,2.8327e-14,1.6415e-14,4.77449,2.84166,1.1106e-14,9e-05,65528,1,-12,-25,0
2022,8.58065,20.41667,4.30097,1.3218e-14,0.00018,4.07228,10.23438,0.00018,4.31598,1.65167,0.00018,3.45845,4.33072,1.9009e-14,1.3067e-14,5.30597,3.11904,9.3144e-15,0.00011,65528,1,-12,-25,0
2022,8.58065,20.5,3.87502,1.5727e-14,0.00029,3.54654,14.64551,0.00029,3.89252,1.64167,0.00029,2.96664,4.10229,2.4546e-14,1.4302e-14,4.73975,2.85118,1.1242e-14,9e-05,65528,1,-12,-25,0
2022,8.58065,20.58333,3.45652,1.9027e-14,0.00034,3.12799,14.64551,0.00034,3.46988,1.63901,0.00034,2.62116,3.77024,3.0172e-14,1.6462e-14,4.22187,2.54295,1.3633e-14,1e-04,65527.778,0,-12,-25,0
2022,8.58065,20.66667,5.25514,9.465e-15,2e-04,4.51614,32.3728,2e-04,5.26888,1.62417,2e-04,3.73404,5.17831,1.6729e-14,9.7002e-15,6.55671,3.73415,6.5456e-15,7e-05,65528,1,-12,-25,0
2022,8.58065,20.75,4.21754,1.3656e-14,0.00023,3.88902,14.64551,0.00023,4.23254,1.64417,0.00023,3.19832,4.19252,2.1655e-14,1.3792e-14,5.18444,3.06382,9.6811e-15,8e-05,65528,1,-12,-25,0
2022,8.58065,20.83333,1.24398,1.0449e-13,0.00152,1.18398,4.25,0.00153,1.25898,1.65667,0.00153,0.94769,1.18349,1.6443e-13,1.1354e-13,0.72327,0.53563,2.5799e-13,0.00051,65513.666,0,-12,-26,0
